Record,Date,LOC Time,Articulo, Estado Camara, Resultado Estampado, Resulado Control, Pieza en Chronos
149, 8/23/2024,21:25:28,1948860,1,0,1,0
150, 8/23/2024,21:25:43,1948860,1,0,1,1
151, 8/23/2024,21:27:29,1948860,1,1,1,0
152, 8/23/2024,21:27:43,1948860,1,0,1,1
153, 8/25/2024,19:15:28,1948860,0,0,1,0
154, 8/25/2024,19:21:10,1948860,0,0,1,0
155, 8/25/2024,19:21:26,1948860,0,0,1,1
156, 8/25/2024,19:25:43,1948860,0,1,1,0
157, 8/25/2024,19:25:57,1948860,0,0,1,1
158, 8/25/2024,20:36:22,1948860,0,1,1,0
159, 8/25/2024,20:36:41,1948860,0,0,1,1
160, 8/25/2024,20:39:28,1948860,0,0,1,0
161, 8/25/2024,20:39:42,1948860,0,0,1,1
162, 8/25/2024,20:42:21,1948860,0,1,1,0
163, 8/25/2024,20:42:36,1948860,0,0,1,1
164, 8/25/2024,20:46:40,1948860,0,1,1,0
165, 8/25/2024,20:46:52,1948860,0,0,1,1
166, 8/25/2024,20:49:00,1948860,0,0,1,0
167, 8/25/2024,20:49:14,1948860,0,0,1,1
168, 8/25/2024,20:51:48,1948860,0,1,1,0
169, 8/25/2024,20:52:02,1948860,0,0,1,1
170, 8/25/2024,21:09:02,1948860,0,1,1,0
171, 8/25/2024,21:09:17,1948860,0,0,1,1
172, 8/25/2024,21:12:18,1948860,0,0,1,0
173, 8/25/2024,21:12:32,1948860,0,0,1,1
174, 8/25/2024,21:14:24,1948860,0,0,1,0
175, 8/25/2024,21:14:38,1948860,0,0,1,1
176, 8/25/2024,21:19:06,1948860,0,0,1,0
177, 8/25/2024,21:19:21,1948860,0,0,1,1
178, 8/25/2024,21:21:30,1948860,0,1,1,0
179, 8/25/2024,21:21:45,1948860,0,0,1,1
180, 8/25/2024,21:23:47,1948860,0,1,1,0
181, 8/25/2024,21:24:01,1948860,0,0,1,1
182, 8/25/2024,21:26:10,1948860,0,1,1,0
183, 8/25/2024,21:26:24,1948860,0,0,1,1
184, 8/25/2024,21:28:42,1948860,0,1,1,0
185, 8/25/2024,21:28:55,1948860,0,0,1,1
186, 8/25/2024,21:34:30,1948860,0,1,1,0
187, 8/25/2024,21:34:43,1948860,0,0,1,1
188, 8/25/2024,21:46:02,1948860,0,0,1,0
189, 8/25/2024,21:46:18,1948860,0,0,1,1
190, 8/25/2024,21:48:10,1948860,0,1,1,0
191, 8/25/2024,21:48:33,1948860,0,0,1,1
192, 8/25/2024,21:51:21,1948860,0,1,1,0
193, 8/25/2024,21:52:04,1948860,0,0,1,0
194, 8/25/2024,21:55:54,1948860,0,1,1,0
195, 8/25/2024,21:56:14,1948860,0,0,1,1
196, 8/25/2024,22:01:42,1948860,0,1,1,0
197, 8/25/2024,22:01:57,1948860,0,0,1,1
198, 8/25/2024,22:04:06,1948860,0,1,1,0
199, 8/25/2024,22:04:32,1948860,0,0,1,1
200, 8/25/2024,22:06:34,1948860,0,0,1,0
201, 8/25/2024,22:06:53,1948860,0,0,1,1
202, 8/25/2024,22:11:47,1948860,0,1,1,0
203, 8/25/2024,22:12:03,1948860,0,0,1,0
204, 8/25/2024,22:14:38,1948860,0,1,1,0
205, 8/25/2024,22:15:04,1948860,0,0,1,1
206, 8/25/2024,22:18:42,1948860,0,1,1,0
207, 8/25/2024,22:18:57,1948860,0,0,1,0
208, 8/25/2024,22:20:32,1948860,0,1,1,0
209, 8/25/2024,22:20:47,1948860,0,0,1,1
210, 8/25/2024,22:22:29,1948860,0,1,1,0
211, 8/25/2024,22:22:44,1948860,0,0,1,1
212, 8/25/2024,22:25:18,1948860,0,1,1,0
213, 8/25/2024,22:25:35,1948860,0,0,1,1
214, 8/25/2024,22:31:11,1948860,0,0,1,0
215, 8/25/2024,22:31:27,1948860,0,0,1,1
216, 8/25/2024,22:36:52,1948860,0,1,1,0
217, 8/25/2024,22:37:07,1948860,0,0,1,1
218, 8/25/2024,22:38:59,1948860,0,1,1,0
219, 8/25/2024,22:39:16,1948860,0,0,1,1
220, 8/25/2024,22:43:25,1948860,0,1,1,0
221, 8/25/2024,22:43:40,1948860,0,0,1,1
222, 8/25/2024,22:48:42,1948860,0,1,1,0
223, 8/26/2024, 7:41:36,1948860,0,1,1,0
224, 8/26/2024, 7:41:56,1948860,0,0,1,1
225, 8/26/2024, 7:44:48,1948860,0,1,1,0
226, 8/26/2024, 7:44:56,1948860,0,0,1,1
227, 8/26/2024, 7:48:46,1948860,0,0,1,0
228, 8/26/2024, 7:49:06,1948860,0,0,1,1
229, 8/26/2024, 7:56:04,1948860,0,1,1,0
230, 8/26/2024, 7:56:22,1948860,0,0,1,1
231, 8/26/2024, 7:59:21,1948860,0,1,1,0
232, 8/26/2024, 7:59:41,1948860,0,0,1,1
233, 8/26/2024, 8:03:02,1948860,0,0,1,0
234, 8/26/2024, 8:03:11,1948860,0,0,1,1
235, 8/26/2024, 8:08:51,1948860,0,1,1,0
236, 8/26/2024, 8:09:51,1948860,0,0,1,1
237, 8/26/2024, 8:18:50,1948860,0,1,1,0
238, 8/26/2024, 8:19:02,1948860,0,0,1,1
239, 8/26/2024, 8:21:09,1948860,0,1,1,0
240, 8/26/2024, 8:21:17,1948860,0,0,1,1
241, 8/26/2024, 8:38:59,1948860,0,1,1,0
242, 8/26/2024, 8:39:11,1948860,0,0,1,1
243, 8/26/2024, 8:42:01,1948860,0,1,1,0
244, 8/26/2024, 8:42:14,1948860,0,0,1,1
245, 8/26/2024, 8:44:55,1948860,0,1,1,0
246, 8/26/2024, 8:45:04,1948860,0,0,1,1
247, 8/26/2024, 8:48:34,1948860,0,1,1,0
248, 8/26/2024, 8:48:45,1948860,0,0,1,1
249, 8/26/2024, 8:51:44,1948860,0,0,1,0
250, 8/26/2024, 8:51:56,1948860,0,0,1,1
251, 8/26/2024, 8:55:27,1948860,0,1,1,0
252, 8/26/2024, 8:55:45,1948860,0,0,1,1
253, 8/26/2024, 8:59:08,1948860,0,0,1,0
254, 8/26/2024, 8:59:20,1948860,0,0,1,1
255, 8/26/2024, 9:03:02,1948860,0,1,1,0
256, 8/26/2024, 9:03:09,1948860,0,0,1,0
257, 8/26/2024, 9:06:00,1948860,0,1,1,0
258, 8/26/2024, 9:06:11,1948860,0,0,1,0
